customer_id,account_id,account_status,checks_returned_last_year,checks_returned_this_year,account_closed_reason,current_rate,date_last_deposit,date_open,date_overdrawn_closed,date_reopened,days_nsf_since_open,branch_id,officer_id,igl,interest_paid_this_statement,nsf_items_paid_last_statement,nsf_items_paid_current_std,nsf_items_retuned_last_statement,nsf_items_returned_current_statement,number_days_od_current_statement,overdraft_days_last_statement,overdraft_days_since_open,account_type,accured_interest,average_bal_6_statements_ago,average_bal_12_statements_ago,average_bal_last_statement,current_balance,daily_interest,interest_paid_last_statement,interest_paid_last_year,interest_paid_this_year,minimum_balance_last_statement,minimum_balance_this_statement,nsf_charges_1_statement_ago,nsf_charges_2_statement_ago,nsf_charges_3_statement_ago,nsf_charges_waived_1_statement_ago,nsf_charges_waived_2_statement_ago,nsf_charges_waived_3_statement_ago,nsf_fees_refunded_last_year,nsf_fees_refunded_month_to_date,nsf_fees_refunded_statement_to_date,nsf_fees_refunded_year_to_date,other_fees_1_statement_ago,other_fees_2_statement_ago,other_fees_3_statement_ago,other_fees_refunded_mtd,other_fees_refunded_statement_too_date,other_fees_refunded_year_to_date,other_fees_returned_last_year,other_fees_waived_1_statement_ago,other_fees_waived_2_statement_ago,other_fees_waived_3_statement_ago,sc_fees_refunded_last_year,sc_fees_refunded_month_to_date,sc_fees_refunded_statement_to_date,sc_fees_refunded_year_to_date,city,state,zip
cif_cust_id_13659,dda_acct_id_07757, ,5,0,,0,12/29/2025,4/28/2020,,,6,branch_id_05,officer_id_012,2,0,0,0,0,0,0,0,6,Commercial,0,198,5979,172,167.23,0,0,0,0,172,167.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL POINT                           ,OR,975029444
cif_cust_id_13660,dda_acct_id_07758, ,0,0,,0,3/16/2026,1/5/2015,,,0,branch_id_06,officer_id_016,2,0,0,0,0,0,0,0,0,Commercial,0,2044,3368,5024,2304.5,0,0,0,0,2304,2304.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL POINT                           ,OR,975020023
cif_cust_id_13662,dda_acct_id_07759, ,0,0,,0,3/16/2026,2/3/2025,4/21/2026,,1,branch_id_18,officer_id_055,2,0,0,1,0,0,3,0,3,Commercial,0,9277,9200,7878,_48.45,0,0,0,0,5733,_48.45,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KENAI                                   ,AK,996110944
cif_cust_id_13663,dda_acct_id_07760, ,0,0,,0,4/13/2026,2/20/2026,,,0,branch_id_18,officer_id_055,2,0,0,0,0,0,0,0,0,Commercial,0,0,77541,87922,135111.66,0,0,0,0,21074,14759.81,0,0,0,0,0,0,0,0,0,0,0,834.07,0,0,0,0,0,0,0,0,0,0,0,0,KENAI                                   ,AK,996110944
cif_cust_id_13663,dda_acct_id_07761,Close,0,0,Closed due to Fraud,0,2/17/2026,2/3/2025,2/20/2026,,0,branch_id_18,officer_id_055,2,0,0,0,0,0,0,0,0,Commercial,0,79080,85403,74384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KENAI                                   ,AK,996110944
cif_cust_id_13663,dda_acct_id_07762, ,0,0,,0.1,2/3/2025,2/3/2025,,,0,branch_id_18,officer_id_056,11,0,0,0,0,0,0,0,0,Commercial,0.32,5003,5002,5005,5005.76,0.01,0.44,4.53,1.23,5005,5005.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KENAI                                   ,AK,996110944
cif_cust_id_13665,dda_acct_id_07763, ,0,0,,0.05,10/30/2024,7/7/2021,,,0,branch_id_05,officer_id_012,2,0,0,0,0,0,0,0,0,Commercial,0.02,1172,988,1325,759.56,0,0.17,0.69,0.17,759,759.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EAGLE POINT                             ,OR,975247837
cif_cust_id_13665,dda_acct_id_07764, ,0,0,,0.05,12/17/2025,3/17/2023,,,0,branch_id_05,officer_id_012,2,0,0,0,0,0,0,0,0,Commercial,0.05,599,1337,3233,600.2,0,0.4,0.32,0.4,2599,600.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EAGLE POINT                             ,OR,975247837
cif_cust_id_13665,dda_acct_id_07765, ,0,0,,0,4/15/2026,1/21/2021,,,0,branch_id_05,officer_id_012,2,0,0,0,0,0,0,0,0,Commercial,0,12929,7993,1540,2703.22,0,0,0,0,90,978.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EAGLE POINT                             ,OR,975247837
cif_cust_id_13668,dda_acct_id_07766, ,1,0,,0,4/8/2026,10/17/2017,,,7,branch_id_04,officer_id_010,1,0,0,0,0,0,0,0,12,Personal,0,4735,5198,5426,5681.28,0,0,0,0,3892,5681.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,975047169
cif_cust_id_13668,dda_acct_id_07767, ,0,0,,0,4/9/2026,2/20/2026,,,0,branch_id_04,Officer Not Assigned,1,0,0,0,0,0,0,0,0,Personal,0,0,588,1177,885.17,0,0,0,0,21,885.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,975047169
cif_cust_id_13671,dda_acct_id_07768, ,0,0,,0,4/17/2026,9/28/2015,,,0,branch_id_04,officer_id_010,1,0,0,0,0,0,0,0,0,Personal,0,2140,2513,3442,2208.61,0,0,0,0,2025,2208.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,975049400
cif_cust_id_13671,dda_acct_id_07769, ,0,0,,0.05,4/22/2026,7/14/2016,,,0,branch_id_04,officer_id_010,1,0,0,0,0,0,0,0,0,Personal,0.88,18974,16502,25056,29854.46,0.04,3.1,11.17,3.1,23086,27079.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,975049400
