customer_id,loan_id,report_code,current_balance,interest_due,interest_rate,next_payment,maturity_date,regular_payment,escrow_payment,letter_of_credit,balloon_date,branch_id,igl,term_of_note,payment_frequency,participation_code,payment_type,balloon_loan_indicator,balloon_loan_term,purpose_code,original_principal,committed_liability,original_loan_amount,revolving_indicator,principal_paid_mtd,interest_paid_mtd,interest_paid_qtd,interest_paid_ltd,interest_accrued_ytd,interest_accrued_qtd,remaining_installments,officer_id,date_on_file,note_date,date_interest_begin,first_payment_date,date_last_renewal,interest_paid_through_date,misc_fees_balance,payoff_date,payoff_amount,prepayment_type,prepayment_paid,rate_index,rate_review_date,rate_review_interval,accrual_method,original_interest_rate,index_rate_at_last_review,original_index,new_interest_rate_pending,date_new_rate_effective,rate_change_date,rate_margin,periodic_rate_increase_limit,periodic_rate_decrease_limit,rate_floor,rate_ceiling,escrow_balance,late_charge_code,late_charge_percentage,minimum_late_charge,maximum_late_charge,late_charge_waived_jan,late_charge_waived_feb,late_charge_waived_mar,late_charge_waived_apr,late_charge_waived_may,late_charge_waived_jun,late_charge_waived_jul,late_charge_waived_aug,late_charge_waived_sept,late_charge_waived_oct,late_charge_waived_nov,late_charge_waived_dec,late_charge_paid_jan,late_charge_paid_feb,late_charge_paid_mar,late_charge_paid_apr,late_charge_paid_may,late_charge_paid_jun,late_charge_paid_jul,late_charge_paid_aug,late_charge_paid_sept,late_charge_paid_oct,late_charge_paid_nov,late_charge_paid_dec,deferred_int,deferred_int_expiration_date,late_charges_paid_ltd,date_last_delinquent,late_charges_paid_ytd,late_charges_waived_ytd,total_amount_delinquent,l12_05_days_delinquent,l12_10_days_delinquent,l12_15_days_delinquent,l12_30_days_delinquent,l12_60_days_delinquent,l12_90_days_delinquent,l12_120_days_delinquent,charge_off_code,previous_charge_off_code,unrec_income_at_nonaccrual_ltd,unrec_income_at_nonaccrual_ytd,unrec_income_since_nonaccrual_ltd,unrec_income_since_nonaccrual_ytd,bank_principal,bank_interest,bank_late_charge,bank_interest_paid_charge_off,bank_principal_mtd,bank_interest_mtd,bank_principal_ytd,bank_interest_ytd,bank_principal_ltd,bank_interest_ltd,current_risk_code,original_risk_code,special_participation_code,fasb_unamortized_balance,fasb_cost_unamortized_balance2,fasb_net_unamortized_balance3,fasb_net_unamortized_balance4,cra_annual_sales,dti,flood_zone,cra_state,sba_guarantee_percent,sba_lenders_fee,account_status,city,state,zip
cif_cust_id_05538,loan_id_0610,Commercial,0,0,9.75,6/3/2026,4/3/2027,0,0,0,4/3/2027,Branch Not Assigned,41,M024,Monthly,0,Int Only,Y,24,530,0,60000,20000,Revolving,0,0,0,3146.38,0,0,23,officer_id_011,5/3/2018,5/3/2018,5/3/2018,5/3/2022,4/3/2025,,15,,15,No Prepayment Penatly,0,WSJ Prime,,0000,365/360,7.75,6.75,4.75,0,,,3,0,0,5.5,11.5,0,1,0.05,0,9999999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9/3/2024,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,0,0,0,0,400805,0, ,41,0,0,Open,GRANTS PASS ,OR,975277107
cif_cust_id_08014,loan_id_0611,Mortgage,250916.51,761.56,4.75,5/1/2026,7/1/2037,2426.84,340.77,0,,branch_id_15,29,M180,Monthly,0,Reg P&I, ,0,140,312000,0,312000,Installment,1460.24,998.99,998.99,50739.39,3775.69,761.46,135,officer_id_050,7/14/2022,6/17/2022,7/1/2022,8/1/2022,,3/31/2026,0,,251678.07,No Prepayment Penatly,0,Fixed,, ,30/360 Am Sch,4.75,0,4.75,0,,,0,0,0,0,0,2187.53,1,0.05,0,9999999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1/1/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,0,0,0,0,3,0,X ,41,0,0,Open,ALBANY ,OR,973212347
cif_cust_id_05841,loan_id_0622,Commercial,14540,13.03,10.75,5/21/2026,11/21/2026,0,0,0,11/21/2026,Branch Not Assigned,,M012,Monthly,0,Int Only,Y,12,530,0,25000,25000,Revolving,0,134.59,134.59,395.1,408.13,99.86,9,officer_id_011,11/25/2025,11/21/2025,11/25/2025,12/21/2025,,4/20/2026,0,,14553.03,No Prepayment Penatly,0,WSJ Prime,,0000,365/360,11,6.75,7,0,,,4,0,0,5,0,0,1,0.05,0,9999999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3/21/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,0,0,0,0,999999,0, ,41,0,0,Open,ALBANY ,OR,973222626
cif_cust_id_16948,loan_id_0625,Revolving Credit,0,0,7,5/10/2026,4/10/2029,0,0,0,4/10/2029,Branch Not Assigned,_4,M120,Monthly,0,Reg P&I,Y,120,180,0,175000,100000,Revolving,0,0,0,4479.56,0,0,120,officer_id_011,4/15/2019,4/10/2019,4/15/2019,5/10/2019,12/4/2019,,154,,154,No Prepayment Penatly,0,RVC Prime,5/1/2026,M001,365/365,6,6.75,0,0,,5/1/2026,0.25,1,1,6,18,0,1,0.05,0,9999999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,0,0,0,0,0,7,X ,41,0,0,Open,MEDFORD ,OR,975049181
cif_cust_id_10598,loan_id_0630,Revolving Credit,0,0,7.25,5/23/2026,10/23/2028,0,0,0,,Branch Not Assigned,_4,M120,Monthly,0,Reg P&I, ,0,180,0,80000,80000,Revolving,0,0,0,1902.96,0,0,117,officer_id_011,10/23/2018,10/23/2018,10/23/2018,11/23/2018,10/23/2018,,154,,154,No Prepayment Penatly,0,RVC Prime,5/1/2026,M001,365/365,6,6.75,5.5,0,,5/1/2026,0.5,1,1,6,18,0,1,0.05,0,9999999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7/23/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,0,0,0,0,0,39.1,X ,41,0,0,Open,LAFAYETTE ,CO,800262419
cif_cust_id_17933,loan_id_0631,Revolving Credit,0,0,6.25,5/15/2026,6/15/2026,0,0,0,6/15/2026,branch_id_05,_8,M024,Monthly,0,Reg P&I,Y,24,630,0,100000,100000,Revolving,0,0,0,1625.74,0,0,24,officer_id_014,6/15/2020,6/15/2020,6/15/2020,7/15/2020,6/13/2024,,0,,0,No Prepayment Penatly,0,RVC Prime,5/1/2026,M001,365/365,2.75,6.75,2.75,0,,5/1/2026,_0.5,1,1,0,18,0,1,0.05,0,9999999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11/15/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,0,0,0,0,3,0, ,41,0,0,Open,MEDFORD ,OR,975049391
cif_cust_id_05970,loan_id_0632,Commercial,124400.77,692.69,7.15,4/27/2026,3/27/2028,1063.61,0,0,3/27/2028,branch_id_12,22,M300,Monthly,0,Reg P&I,Y,120,190,150000,0,150000,Installment,369.34,694.27,694.27,69444.13,2804.92,568.78,24,officer_id_054,3/27/2018,3/27/2018,3/27/2018,4/27/2018,3/27/2018,3/26/2026,154,,125247.46,No Prepayment Penatly,0,FHLB 5_YR,3/27/2028,M060,365/360,5.69,4.27,2.81,0,,3/27/2028,2.88,0,0,5.69,0,0,1,0.05,0,9999999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3/27/2026,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,0,0,0,0,24860,0,C ,41,0,0,Open,KLAMATH FALLS ,OR,976019600
cif_cust_id_17008,loan_id_0635,Revolving Credit,9694.75,70.16,8.75,5/8/2026,7/8/2027,0,0,0,7/8/2027,Branch Not Assigned,_2,M060,Monthly,0,Reg P&I,Y,60,630,0,11209,11209,Revolving,130.21,66.29,66.29,1521.03,268.98,53.67,60,officer_id_011,7/11/2022,7/8/2022,7/11/2022,8/8/2022,,3/24/2026,0,,9764.91,No Prepayment Penatly,0,RVC Prime,5/1/2026,M001,365/365,6.75,6.75,4.75,0,,5/1/2026,2,1,1,0,18,0,1,0.05,0,9999999.99,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31.75,1/8/2026,0,4.77,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,0,0,0,0,3,26, ,41,0,0,Open,WOODBURN ,OR,970715765
cif_cust_id_00792,loan_id_0636,Commercial,214719.86,782.66,4.86,4/28/2026,10/31/2041,1676.18,0,0,,branch_id_05,22,M300,Monthly,0,Reg P&I, ,0,170,288750,0,288750,Installment,0,0,0,118378.2,3294.4,666.71,187,officer_id_069,10/31/2016,10/31/2016,10/31/2016,11/30/2016,10/31/2016,3/27/2026,154,,215656.52,No Prepayment Penatly,0,FHLB 5_YR,10/30/2026,M060,365/360,4.86,1.53,1.86,0,,10/30/2026,3,0,0,4.86,0,0,1,0.05,0,9999999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3/28/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,938.6,0,0,0,211294,0,X ,41,0,0,Open,MOUND ,MN,553641836
cif_cust_id_06135,loan_id_0649,Commercial,111618.2,699.25,11.87,5/5/2026,9/5/2031,2346.37,0,0,,Branch Not Assigned,40,M084,Monthly,0,Reg P&I, ,0,510,132780,0,132780,Installment,1192.85,1153.52,1153.52,23419.23,4238,848.04,65,officer_id_011,9/5/2024,9/5/2024,9/5/2024,10/5/2024,,4/4/2026,0,,112317.45,No Prepayment Penatly,0,Fixed,, ,365/360,11.87,0,11.87,0,,,0,0,0,0,0,0,1,0.05,0,9999999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7/5/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,5, ,0,0,0,0,999999,0, ,41,0,0,Open,GRANTS PASS ,OR,975275548
